# timestamp,observer_id,node_id,errormessage
1537482613.0003230,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003075,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002935,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002580,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002530,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002460,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002550,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002515,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002400,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002325,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002555,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002320,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002435,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002625,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002410,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002590,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002565,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002650,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002565,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002625,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002430,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002600,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002475,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002490,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002575,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002535,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002665,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002455,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002725,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002615,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002490,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002495,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002500,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002610,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002610,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002360,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002485,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002425,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002575,33,33, Missing tracing events: PinLevels(hex) : 0x0
